ticker,signal_type,entry_date,exit_date,days_held,entry_price,exit_price,exit_reason,position_size,shares,entry_fee,exit_fee,total_fees,pnl,pnl_pct,r_multiple
BTC,Breakout,2024-10-14,2024-10-16,2,66046.12,68027.51,Target,1000.0,0.015065,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2024-10-14,2024-10-15,1,2628.9,2576.32,Stop,1000.0,0.378485,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Pullback,2024-10-24,2024-10-25,1,2534.5,2483.81,Stop,1000.0,0.392583,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2024-10-28,2024-10-29,1,69907.76,72004.99,Target,1000.0,0.014233,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Pullback,2024-10-28,2024-10-29,1,2565.35,2642.31,Target,1000.0,0.387862,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Pullback,2024-11-05,2024-11-06,1,69359.56,71440.35,Target,1000.0,0.014346,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2024-11-06,2024-11-07,1,2724.17,2805.89,Target,1000.0,0.365249,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2024-11-08,2024-11-09,1,2962.3,3051.17,Target,1000.0,0.335888,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2024-11-10,2024-11-11,1,80474.19,82888.41,Target,1000.0,0.012364,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2024-11-10,2024-11-11,1,3191.33,3287.07,Target,1000.0,0.311782,5.0,5.12,10.12,19.73,1.97,98.63
BTC,Breakout,2024-11-13,2024-11-14,1,90584.16,88772.48,Stop,1000.0,0.010984,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2024-11-21,2024-11-24,3,98504.73,96534.63,Stop,1000.0,0.010101,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2024-12-04,2024-12-05,1,3841.33,3764.5,Stop,1000.0,0.259025,5.0,4.88,9.88,-29.78,-2.98,-148.88
ETH,Breakout,2024-12-06,2024-12-09,3,4005.81,3925.69,Stop,1000.0,0.248389,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Breakout,2024-12-16,2024-12-18,2,106029.72,103909.12,Stop,1000.0,0.009384,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2024-12-24,2024-12-26,2,98676.09,96702.57,Stop,1000.0,0.010083,5.0,4.88,9.88,-29.78,-2.98,-148.88
BTC,Pullback,2025-01-02,2025-01-06,4,96886.88,99793.48,Target,1000.0,0.01027,5.0,5.12,10.12,19.73,1.97,98.63
ETH,Breakout,2025-01-06,2025-01-07,1,3688.61,3614.84,Stop,1000.0,0.269749,5.0,4.88,9.88,-29.78,-2.98,-148.88
