ticker,entry_date,expiration_date,exit_date,dte,entry_spot,exit_spot,short_strike,long_strike,credit,max_risk,tp_hit,pnl,pnl_pct
QQQ,2025-01-07,2025-02-21,2025-01-21,45,510.84,520.38,450,445.0,0.32,4.68,True,15.99,3.4
QQQ,2025-03-04,2025-04-18,2025-04-18,45,491.38,441.02,432,427.0,0.33,4.67,False,32.73,7.0
SPY,2025-04-01,2025-05-16,2025-05-12,45,551.82,573.48,486,481.0,0.33,4.67,True,16.59,3.6
SPY,2025-05-21,2025-06-20,2025-05-22,30,573.35,573.58,505,500.0,0.38,4.62,True,19.04,4.1
QQQ,2025-05-21,2025-06-20,2025-05-27,30,509.48,517.6,448,443.0,0.49,4.51,True,24.36,5.4
QQQ,2025-11-04,2025-12-19,2025-11-28,45,616.35,616.35,542,537.0,0.26,4.74,True,12.93,2.7
QQQ,2026-03-31,2026-05-15,2026-04-07,45,575.95,587.33,507,502.0,0.4,4.6,True,20.11,4.4
QQQ,2026-06-05,2026-07-17,2026-06-15,42,703.55,742.41,619,614.0,0.4,4.6,True,19.83,4.3
QQQ,2026-07-20,2026-08-21,2026-08-03,32,695.34,699.34,612,607.0,0.57,4.43,True,28.34,6.4
QQQ,2026-09-01,2026-10-16,2026-09-08,45,706.9,717.61,622,617.0,0.41,4.59,True,20.67,4.5
